Unix Time, Vive Time,Left Pos x, Left Pos y, Right Pos x, Right Pos y, Eye Position
1683443983558230,3540537,0.3027766,0.8120081,0.3595438,0.5628769,OK
1683443983565742,3540545,0.3061695,0.8168707,0.3595738,0.5648696,OK
1683443983573248,3540554,0.3042479,0.8142909,0.3619772,0.5623051,OK
1683443983581255,3540562,0.3111813,0.8035358,0.3635866,0.5577921,OK
1683443983590765,3540570,0.3149799,0.8040267,0.3647239,0.5580759,OK
1683443983598797,3540579,0.3211772,0.7717426,0.3666385,0.5523661,OK
1683443983607305,3540587,0.3235899,0.7789865,0.3689338,0.5506357,OK
1683443983614812,3540595,0.3224369,0.7688026,0.3704852,0.5492949,OK
1683443983623312,3540604,0.3325543,0.7617654,0.3733026,0.5453801,OK
1683443983631316,3540612,0.3371641,0.7572878,0.3739901,0.5425946,OK
1683443983639854,3540620,0.3365199,0.7545051,0.3763964,0.5346383,OK
1683443983648361,3540629,0.3381661,0.7473164,0.3785015,0.5326643,OK
1683443983656867,3540637,0.3400768,0.7405949,0.3802573,0.5339214,OK
1683443983665379,3540645,0.3430946,0.7381311,0.3813472,0.5317733,OK
1683443983672884,3540654,0.3390896,0.742931,0.3839023,0.531569,OK
1683443983681891,3540662,0.3429711,0.7419043,0.3871771,0.5311271,OK
1683443983690399,3540670,0.3468526,0.7408775,0.3875686,0.5321634,OK
1683443983697906,3540678,0.3468604,0.737753,0.3844471,0.5307442,OK
1683443983705996,3540687,0.3445773,0.7358719,0.3883241,0.5322254,OK
1683443983714501,3540695,0.346382,0.7329653,0.3910506,0.5283034,OK
1683443983723091,3540703,0.3477339,0.7326229,0.388478,0.5313524,OK
1683443983732006,3540712,0.3356541,0.7409093,0.3795378,0.5302359,OK
1683443983741014,3540720,0.3162896,0.7667385,0.3653001,0.542245,OK
1683443983748524,3540728,0.3130794,0.7863402,0.3587485,0.5484681,OK
1683443983757030,3540737,0.310614,0.7923684,0.3561626,0.5522197,OK
1683443983765536,3540745,0.3105067,0.7935879,0.3582639,0.5549325,OK
1683443983774046,3540753,0.3075966,0.7973189,0.3592752,0.5518634,OK
1683443983782049,3540762,0.3086043,0.7965342,0.3597029,0.5540469,OK
1683443983790567,3540770,0.3087192,0.7957495,0.3590378,0.5487674,OK
1683443983799072,3540778,0.3090428,0.7815846,0.3599525,0.5491426,OK
1683443983806579,3540787,0.3127294,0.7835336,0.3610789,0.5499799,OK
1683443983816085,3540795,0.3106154,0.7915221,0.3616636,0.54818,OK
1683443983823591,3540803,0.3118019,0.7893333,0.3636802,0.5459273,OK
1683443983831599,3540812,0.3106154,0.7871445,0.3618694,0.5451815,OK
1683443983840615,3540820,0.3134976,0.778752,0.3619792,0.5416599,OK
1683443983849121,3540828,0.3135003,0.7715117,0.3642211,0.5400605,OK
1683443983856627,3540837,0.312744,0.7702447,0.3657292,0.5430451,OK
1683443983865132,3540845,0.3101603,0.768501,0.3649632,0.5422516,OK
1683443983873634,3540853,0.3116318,0.7707318,0.3657292,0.5421522,OK
1683443983881639,3540862,0.3116325,0.7656067,0.364761,0.5404903,OK
1683443983890146,3540870,0.3153562,0.7705126,0.3669056,0.538173,OK
1683443983898659,3540878,0.3182968,0.7707419,0.3673875,0.5393958,OK
1683443983907163,3540887,0.3157837,0.7692558,0.3680913,0.5377279,OK
1683443983915673,3540895,0.3154628,0.7682465,0.369168,0.5398078,OK
1683443983923177,3540903,0.3151419,0.7672371,0.3674532,0.5386487,OK
1683443983932184,3540912,0.3136419,0.7744615,0.367531,0.5382535,OK
1683443983939864,3540920,0.3142728,0.7718052,0.3679855,0.5396162,OK
1683443983949140,3540928,0.3122889,0.7695045,0.3684271,0.5394185,OK
1683443983956646,3540937,0.3108221,0.7666271,0.3675605,0.538057,OK
1683443983965169,3540945,0.3105415,0.7695045,0.366197,0.5383309,OK
1683443983973670,3540953,0.3099485,0.7700741,0.3674133,0.5377416,OK
1683443983981675,3540962,0.3102799,0.7706439,0.3677365,0.5391279,OK
1683443983990185,3540970,0.3098177,0.7710771,0.3674133,0.5382194,OK
1683443983998692,3540978,0.3093554,0.7706439,0.3672942,0.5389467,OK
1683443984006730,3540987,0.3092708,0.7710771,0.3671751,0.5382194,OK
1683443984015065,3540995,0.3093554,0.7706439,0.3670655,0.5379805,OK
1683443984023568,3541003,0.3092708,0.7700741,0.3671751,0.5381919,OK
1683443984031573,3541012,0.3073454,0.7697322,0.3670655,0.5379667,OK
1683443984040602,3541020,0.3062727,0.7697362,0.3650798,0.5338933,OK
1683443984048107,3541028,0.3048439,0.7780479,0.3676002,0.5354903,OK
1683443984057222,3541037,0.3062731,0.7756543,0.3682134,0.5333939,OK
1683443984065728,3541045,0.303864,0.7614681,0.3657455,0.5366886,OK
1683443984073775,3541053,0.3067242,0.7608659,0.3680838,0.5307579,OK
1683443984081778,3541062,0.3089422,0.754372,0.3690688,0.5331848,OK
1683443984090287,3541070,0.3311627,0.7629896,0.3876765,0.5256193,OK
1683443984098795,3541078,0.3703293,0.7627863,0.4138263,0.5244432,OK
1683443984106301,3541087,0.4074564,0.7478578,0.4403061,0.5254523,OK
1683443984113807,3541095,0.4445444,0.7532458,0.4548891,0.5200911,Rating Interface
1683443984123308,3541103,0.4831121,0.7655384,0.4990029,0.5317041,Rating Interface
1683443984131311,3541112,0.5128536,0.7691106,0.5084416,0.5275256,Rating Interface
1683443984138318,3541120,0.5055211,0.7354382,0.5308081,0.5210455,Rating Interface
1683443984147822,3541128,0.5239902,0.7297365,0.533353,0.5263325,Rating Interface
1683443984156245,3541137,0.5298821,0.7247238,0.5357212,0.5261158,Rating Interface
1683443984164748,3541145,0.5322549,0.7275062,0.5361854,0.5255911,Rating Interface
1683443984172752,3541153,0.5289416,0.7256463,0.5340759,0.5271451,Rating Interface
1683443984181976,3541162,0.5221046,0.7237921,0.5295116,0.5282573,Rating Interface
1683443984189484,3541170,0.5175297,0.7181084,0.5264282,0.5268039,Rating Interface
1683443984198992,3541178,0.5121847,0.7177881,0.522104,0.5277946,Rating Interface
1683443984206499,3541187,0.506681,0.717962,0.5177146,0.5271314,Rating Interface
